long,lat,alt,model,reg_city,reg_state,mph,Label
-118.195,34.3937,18825,525B,HILLSBORO,OREGON,401,moderate
-117.515,34.6376,32625,A320-232,CHICAGO,ILLINOIS,460,risk
-118.715,35.1293,31200,747-44AF,LOUISVILLE,KENTUCKY,460,risk
-117.24,34.4741,36650,767-300F,MEMPHIS,TENNESSEE,460,risk
-118.329,34.8103,27425,757-24APF,LOUISVILLE,KENTUCKY,513,risk
-118.7,34.9572,36300,737-8EH,WILMINGTON,DELAWARE,525,risk
-118.659,35.0548,38350,737-8Z9,SALT LAKE CITY,UTAH,523,risk
-117.85,34.7214,25925,737-7H4,DALLAS,TEXAS,458,moderate
-118.097,34.6136,11400,737-7H4,DALLAS,TEXAS,405,moderate
-117.43,34.7356,23450,A320-232,MIRAMAR,FLORIDA,536,risk
-117.757,34.4912,15450,747-44AF,LOUISVILLE,KENTUCKY,460,moderate
-118.76,34.5494,34425,757-236,MEMPHIS,TENNESSEE,529,risk
-118.262,34.581,8825,A319-132,SALT LAKE CITY,UTAH,336,safe
-117.957,34.6358,12450,EMB-145LR,DALLAS,TEXAS,460,moderate
-117.424,34.6047,27425,737-7H4,DALLAS,TEXAS,382,moderate
-119.042,34.4019,34400,A319-132,NEW YORK,NEW YORK,460,risk
-117.871,34.335,19525,737-7H4,DALLAS,TEXAS,460,moderate
-118.335,34.5708,7925,EMB-135LR,DALLAS,TEXAS,460,moderate
-118.116,34.4453,19650,B200,MESA,ARIZONA,460,moderate
-118.069,34.6357,24300,737-800,DALLAS,TEXAS,477,moderate
-117.846,34.5062,21750,ERJ 170-200 LR,SAINT GEORGE,UTAH,460,moderate
-117.426,34.647,25500,EMB-135LR,SALT LAKE CITY,UTAH,460,moderate
-117.981,34.6261,36550,CL-600-2D24,PHOENIX,ARIZONA,513,risk
-118.516,34.6115,16050,200T,BRIDGEWATER,VIRGINIA,242,safe
-118.33,34.4565,20000,737-7H4,DALLAS,TEXAS,460,moderate
-118.125,34.7147,22700,A300 F4-622R,LOUISVILLE,KENTUCKY,516,risk
-118.662,34.7922,39350,737-890,WILMINGTON,DELAWARE,520,risk
